Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM

t0		 j		 tel		 1		 2		 2
t0		 j		 tel		 1		 2		 1
t0		 h		 tel		 1		 3		 0
t0		 h		 tel		 1		 3		 0
t0		 j		 blend		 1		 3		 0
t0		 h		 blend		 1		 1		 3
t0		 j		 but		 2		 3		 1
t0		 j		 but		 2		 2		 2
t0		 j		 but		 2		 2		 1
t0		 j		 but		 1		 3		 0
t0		 h		 but		 1		 3		 0
t0		 h		 but		 2		 3		 0
t0		 h		 but		 1		 1		 3
t0		 h		 but		 1		 3		 1
################################
################################
p		 h		 pot		 1		 1		 4
p		 h		 pot		 1		 3		 0
p		 h		 pot		 2		 3		 5
p		 h		 pot		 4		 1		 1
p		 h		 kld		 4		 3		 4
p		 h		 kld		 3		 2		 4
p		 h		 kld		 2		 1		 2
p		 h		 kld		 4		 3		 2
p		 j		 pot		 1		 3		 1
p		 j		 pot		 4		 3		 0
p		 j		 pot		 3		 1		 0
p		 j		 pot		 2		 1		 3
p		 j		 kld		 2		 3		 3
p		 j		 kld		 4		 3		 1
p		 j		 kld		 3		 2		 0
p		 j		 kld		 2		 3		 3
################################
################################
r		 j		 pot		 3		 2		 0
r		 j		 pot		 3		 2		 2
r		 j		 pot		 1		 2		 0
r		 j		 pot		 1		 3		 3
r		 j		 kld		 3		 3		 3
r		 j		 kld		 5		 3		 2
r		 j		 kld		 5		 3		 2
r		 j		 kld		 5		 2		 1
r		 h		 pot		 4		 3		 1
r		 h		 pot		 4		 3		 3
r		 h		 pot		 2		 2		 5
r		 h		 pot		 2		 1		 3
r		 h		 kld		 2		 2		 4
r		 h		 kld		 3		 1		 3
r		 h		 kld		 2		 1		 2
r		 h		 kld		 3		 1		 4
